MONDO:0000136	keratosis follicularis spinulosa decalvans	禿髪性棘状毛嚢性角化症	http://purl.obolibrary.org/obo/mondo/releases/2025-05-06/mondo.owl
MONDO:0000137	leukoencephalopathy, megalencephalic	白質脳症, 大頭型	http://purl.obolibrary.org/obo/mondo/releases/2025-05-06/mondo.owl
MONDO:0000138	metaphyseal chondrodysplasia	骨幹端軟骨異形成症	http://purl.obolibrary.org/obo/mondo/releases/2025-05-06/mondo.owl
MONDO:0000141	mosaic variegated aneuploidy syndrome	多彩異数性モザイク症候群	http://purl.obolibrary.org/obo/mondo/releases/2025-05-06/mondo.owl
MONDO:0000144	pregnancy loss, recurrent, susceptibility	不育症, 反復性, 感受性	http://purl.obolibrary.org/obo/mondo/releases/2025-05-06/mondo.owl
MONDO:0000147	polyposis	ポリポーシス	http://purl.obolibrary.org/obo/mondo/releases/2025-05-06/mondo.owl
MONDO:0000148	pulmonary fibrosis and/or bone marrow failure, telomere-related	肺線維症および/または骨髄不全, テロメア関連	http://purl.obolibrary.org/obo/mondo/releases/2025-05-06/mondo.owl
MONDO:0000151	symphalangism	指節癒合症	http://purl.obolibrary.org/obo/mondo/releases/2025-05-06/mondo.owl
MONDO:0000152	thiamine-responsive dysfunction syndrome	チアミン反応性機能障害症候群	http://purl.obolibrary.org/obo/mondo/releases/2025-05-06/mondo.owl
MONDO:0000153	transposition of the great arteries	完全大血管転位症	http://purl.obolibrary.org/obo/mondo/releases/2025-05-06/mondo.owl
MONDO:0000155	triglyceride storage disease	中性脂肪蓄積症	http://purl.obolibrary.org/obo/mondo/releases/2025-05-06/mondo.owl
MONDO:0000156	trigonocephaly	三角頭蓋	http://purl.obolibrary.org/obo/mondo/releases/2025-05-06/mondo.owl
MONDO:0000158	developmental dysplasia of the hip	発育性股関節形成不全	http://purl.obolibrary.org/obo/mondo/releases/2025-05-06/mondo.owl
MONDO:0000159	bone marrow failure syndrome	骨髄不全症候群	http://purl.obolibrary.org/obo/mondo/releases/2025-05-06/mondo.owl
MONDO:0000160	epilepsy, familial adult myoclonic	てんかん, 家族性成人ミオクロニー	http://purl.obolibrary.org/obo/mondo/releases/2025-05-06/mondo.owl
MONDO:0000162	autoimmune thyroid disease, susceptibility to	自己免疫性甲状腺疾患, 感受性	http://purl.obolibrary.org/obo/mondo/releases/2025-05-06/mondo.owl
MONDO:0000166	encephalopathy, acute, infection-induced	脳症, 急性, 感染誘発性	http://purl.obolibrary.org/obo/mondo/releases/2025-05-06/mondo.owl
MONDO:0000167	Huntington disease and related disorders	ハンチントン病および関連障害	http://purl.obolibrary.org/obo/mondo/releases/2025-05-06/mondo.owl
MONDO:0000170	microphthalmia, isolated, with coloboma	小眼球症, 孤立性, コロボーマを伴う	http://purl.obolibrary.org/obo/mondo/releases/2025-05-06/mondo.owl
MONDO:0000171	muscular dystrophy-dystroglycanopathy, type A	筋ジストロフィー-ジストログリカノパチー, A型	http://purl.obolibrary.org/obo/mondo/releases/2025-05-06/mondo.owl
MONDO:0000172	muscular dystrophy-dystroglycanopathy, type B	筋ジストロフィー-ジストログリカノパチー, B型	http://purl.obolibrary.org/obo/mondo/releases/2025-05-06/mondo.owl
MONDO:0000173	muscular dystrophy-dystroglycanopathy, type C	筋ジストロフィー-ジストログリカノパチー, C型	http://purl.obolibrary.org/obo/mondo/releases/2025-05-06/mondo.owl
MONDO:0000179	Neu-Laxova syndrome	Neu-Laxova症候群	http://purl.obolibrary.org/obo/mondo/releases/2025-05-06/mondo.owl
MONDO:0000181	microcephaly and chorioretinopathy	小頭症および網脈絡膜症	http://purl.obolibrary.org/obo/mondo/releases/2025-05-06/mondo.owl
MONDO:0000182	congenital myasthenic syndrome with tubular aggregates	管状集合体を伴う先天性筋無力症候群	http://purl.obolibrary.org/obo/mondo/releases/2025-05-06/mondo.owl
MONDO:0000188	GLUT1 deficiency syndrome	GLUT1欠損症	http://purl.obolibrary.org/obo/mondo/releases/2025-05-06/mondo.owl
MONDO:0000190	ventricular fibrillation	心室細動	http://purl.obolibrary.org/obo/mondo/releases/2025-05-06/mondo.owl
MONDO:0000192	polyglucosan body myopathy	ポリグルコサン小体ミオパチー	http://purl.obolibrary.org/obo/mondo/releases/2025-05-06/mondo.owl
MONDO:0000193	cortisone reductase deficiency	コルチゾンレダクターゼ欠損症	http://purl.obolibrary.org/obo/mondo/releases/2025-05-06/mondo.owl
MONDO:0000200	Zimmermann-Laband syndrome	Zimmermann-Laband症候群	http://purl.obolibrary.org/obo/mondo/releases/2025-05-06/mondo.owl
MONDO:0000208	microcephaly, short stature, and impaired glucose metabolism 1	小頭症, 低身長, およびグルコース代謝障害1	http://purl.obolibrary.org/obo/mondo/releases/2025-05-06/mondo.owl
MONDO:0000209	prenatal-onset spinal muscular atrophy with congenital bone fractures	先天性骨折を伴う出生前発症脊髄性筋萎縮症	http://purl.obolibrary.org/obo/mondo/releases/2025-05-06/mondo.owl
MONDO:0000210	thiopurine metabolic disease	チオプリン代謝疾患	http://purl.obolibrary.org/obo/mondo/releases/2025-05-06/mondo.owl
MONDO:0000211	striatal degeneration, autosomal dominant	線条体変性, 常染色体顕性	http://purl.obolibrary.org/obo/mondo/releases/2025-05-06/mondo.owl
MONDO:0000212	hypercalcemia, infantile	高カルシウム血症, 乳児	http://purl.obolibrary.org/obo/mondo/releases/2025-05-06/mondo.owl
MONDO:0000213	autoimmune disease, multisystem, infantile-onset	自己免疫疾患, 多臓器, 乳児期発症	http://purl.obolibrary.org/obo/mondo/releases/2025-05-06/mondo.owl
